shannon50,run,Plot
3.762699062,1,5501
3.271789011,1,5502
2.781901189,1,5504
2.671789011,1,5514
2.708434573,1,5516
2.449549054,1,5526
2.978313443,1,5531
3.886049882,1,5532
3.260310752,1,5533
4.003074189,1,5534
4.79856294,1,5535
4.779470571,1,5536
3.454693952,1,5541
4.33366069,1,5542
4.643535941,2,5546
4.143981821,2,5551
4.25617463,2,5552
3.876245382,2,5553
2.655909261,2,5556
3.243270572,2,5562
4.54146788,2,5564
3.597922442,2,5568
4.173340441,2,5569
3.62514225,2,5574
4.33088138,2,5575
4.03378632,2,5576
4.750435501,2,5578
4.94875844,2,5579
4.99856294,2,5580
5.05366069,3,5581
4.523535941,3,5588
4.023144941,3,5589
3.983981821,3,5590
4.72637013,3,5591
4.14597913,3,5593
4.25088138,3,5601
3.55049038,3,5603
4.91856294,3,5604
3.587363235,3,5605
5.01366069,3,5606
5.19856294,3,5607
4.51127238,3,5619
4.374177321,3,5620
5.30875844,3,5621
